review_id,product_name,category,rating,review_text,true_sentiment,reviewer_age,helpful_votes
60,Blender,Beauty,5,Excellent build quality and quick shipping. Five stars! The size was perfect.,Positive,48,11
61,T-Shirt,Books,4,Great value for money. The product works perfectly.,Positive,46,27
62,T-Shirt,Clothing,5,Works like a charm. Very happy with the overall experience. Delivery was quick.,Positive,26,5
63,Yoga Mat,Clothing,4,Best purchase I have made this year. Highly recommend! Recommended to friends.,Positive,32,19
64,Blender,Clothing,4,Works like a charm. Very happy with the overall experience. Delivery was quick.,Positive,47,4
66,Dumbbells,Electronics,4,Absolutely love this product! Exceeded all my expectations.,Positive,27,8
67,Yoga Mat,Sports,4,Super happy with this purchase. Packaging was also excellent.,Positive,46,28
68,Face Cream,Home & Kitchen,4,Absolutely love this product! Exceeded all my expectations.,Positive,33,15
69,Coffee Maker,Beauty,5,Works like a charm. Very happy with the overall experience.,Positive,53,45
70,Blender,Beauty,4,Absolutely love this product! Exceeded all my expectations. Very impressed overall.,Positive,37,21
71,Shampoo,Electronics,5,The product is durable and looks exactly like the pictures.,Positive,62,7
72,T-Shirt,Home & Kitchen,5,Absolutely love this product! Exceeded all my expectations. Delivery was quick.,Positive,54,19
73,Coffee Maker,Electronics,4,Amazing quality and fast delivery. Will definitely buy again. Recommended to friends.,Positive,39,13
74,Novel,Beauty,4,The product is durable and looks exactly like the pictures.,Positive,24,38
75,Coffee Maker,Sports,5,Outstanding customer service and excellent product quality.,Positive,40,36
76,Headphones,Clothing,5,Works like a charm. Very happy with the overall experience.,Positive,58,49
77,Blender,Beauty,4,The product is durable and looks exactly like the pictures.,Positive,57,33
78,Python Guide,Books,5,Outstanding customer service and excellent product quality. Delivery was quick.,Positive,46,10
79,Coffee Maker,Clothing,4,Absolutely love this product! Exceeded all my expectations.,Positive,33,39
80,Python Guide,Beauty,4,The product is durable and looks exactly like the pictures. Would buy again.,Positive,55,32
81,Novel,Sports,4,Outstanding customer service and excellent product quality.,Positive,45,30
82,Yoga Mat,Electronics,4,Outstanding customer service and excellent product quality.,Positive,55,43
83,Python Guide,Clothing,5,Great value for money. The product works perfectly. Very impressed overall.,Positive,48,33
84,Yoga Mat,Sports,4,Super happy with this purchase. Packaging was also excellent.,Positive,31,49
85,T-Shirt,Home & Kitchen,4,Absolutely love this product! Exceeded all my expectations.,Positive,50,6
86,Dumbbells,Books,5,Super happy with this purchase. Packaging was also excellent. The size was perfect.,Positive,26,48
87,Blender,Clothing,4,Excellent build quality and quick shipping. Five stars!,Positive,44,22
88,Coffee Maker,Electronics,5,Super happy with this purchase. Packaging was also excellent. Recommended to friends.,Positive,41,45
89,T-Shirt,Home & Kitchen,4,Great value for money. The product works perfectly.,Positive,30,6
90,T-Shirt,Sports,4,Fantastic product at a very reasonable price point. Very impressed overall.,Positive,43,24
91,Shampoo,Books,5,Absolutely love this product! Exceeded all my expectations.,Positive,46,2
92,Jeans,Electronics,5,Best purchase I have made this year. Highly recommend! Would buy again.,Positive,60,37
93,Laptop,Sports,4,Super happy with this purchase. Packaging was also excellent.,Positive,45,19
94,Headphones,Sports,5,Great value for money. The product works perfectly. Good build quality.,Positive,45,33
95,Yoga Mat,Clothing,4,Great value for money. The product works perfectly. Delivery was quick.,Positive,25,48
96,Dumbbells,Clothing,5,Works like a charm. Very happy with the overall experience. Very impressed overall.,Positive,40,43
97,Jeans,Electronics,5,Absolutely love this product! Exceeded all my expectations.,Positive,46,43
98,Laptop,Beauty,5,The product is durable and looks exactly like the pictures. Delivery was quick.,Positive,22,29
99,Dumbbells,Beauty,5,Great value for money. The product works perfectly.,Positive,59,16
100,Headphones,Sports,4,Excellent build quality and quick shipping. Five stars! Not what I expected though.,Positive,24,9
101,Yoga Mat,Clothing,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,59,34
102,Blender,Books,5,Amazing quality and fast delivery. Will definitely buy again.,Positive,53,19
103,Headphones,Books,4,Great value for money. The product works perfectly. The size was perfect.,Positive,58,17
104,Coffee Maker,Sports,5,Outstanding customer service and excellent product quality. The size was perfect.,Positive,44,44
105,T-Shirt,Clothing,5,Best purchase I have made this year. Highly recommend!,Positive,63,43
106,Shampoo,Electronics,5,Works like a charm. Very happy with the overall experience. Packaging was neat.,Positive,19,26
107,Laptop,Electronics,5,Great value for money. The product works perfectly. The size was perfect.,Positive,42,48
108,Laptop,Electronics,5,Great value for money. The product works perfectly. Delivery was quick.,Positive,26,35
109,Dumbbells,Books,4,The product is durable and looks exactly like the pictures. Would buy again.,Positive,44,22
110,Shampoo,Clothing,5,The product is durable and looks exactly like the pictures. Would buy again.,Positive,18,31
111,Laptop,Clothing,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,40,9
112,Shampoo,Books,5,Absolutely love this product! Exceeded all my expectations. Good build quality.,Positive,27,10
113,Yoga Mat,Electronics,4,Absolutely love this product! Exceeded all my expectations.,Positive,59,37
114,Coffee Maker,Electronics,4,Great value for money. The product works perfectly. Good build quality.,Positive,42,5
115,Headphones,Sports,5,Absolutely love this product! Exceeded all my expectations.,Positive,20,40
116,T-Shirt,Beauty,4,Best purchase I have made this year. Highly recommend! Very impressed overall.,Positive,23,46
117,Coffee Maker,Home & Kitchen,4,Excellent build quality and quick shipping. Five stars! Not what I expected though.,Positive,23,33
118,Jeans,Beauty,5,Absolutely love this product! Exceeded all my expectations. Packaging was neat.,Positive,19,35
119,Blender,Clothing,5,Great value for money. The product works perfectly. Very impressed overall.,Positive,35,36
120,Shampoo,Clothing,4,Best purchase I have made this year. Highly recommend!,Positive,40,16
121,Python Guide,Clothing,4,Absolutely love this product! Exceeded all my expectations.,Positive,19,39
122,Coffee Maker,Beauty,5,Amazing quality and fast delivery. Will definitely buy again. Packaging was neat.,Positive,29,39
123,Dumbbells,Home & Kitchen,4,The product is durable and looks exactly like the pictures. Good build quality.,Positive,39,11
124,Jeans,Sports,4,Works like a charm. Very happy with the overall experience.,Positive,54,20
125,T-Shirt,Beauty,5,The product is durable and looks exactly like the pictures.,Positive,37,39
126,Dumbbells,Home & Kitchen,4,Fantastic product at a very reasonable price point. The size was perfect.,Positive,56,18
127,Dumbbells,Electronics,5,Works like a charm. Very happy with the overall experience. Would buy again.,Positive,41,2
128,Python Guide,Electronics,4,The product is durable and looks exactly like the pictures.,Positive,37,17
129,Shampoo,Clothing,4,Fantastic product at a very reasonable price point. Would buy again.,Positive,18,18
130,Python Guide,Books,5,Amazing quality and fast delivery. Will definitely buy again. Not what I expected though.,Positive,18,46
131,Coffee Maker,Clothing,4,Fantastic product at a very reasonable price point.,Positive,34,5
132,Dumbbells,Books,5,Outstanding customer service and excellent product quality. The size was perfect.,Positive,18,15
133,Laptop,Home & Kitchen,4,Works like a charm. Very happy with the overall experience. Good build quality.,Positive,62,7
134,Face Cream,Electronics,5,Great value for money. The product works perfectly.,Positive,47,47
135,T-Shirt,Beauty,5,Amazing quality and fast delivery. Will definitely buy again.,Positive,58,17
136,Laptop,Books,4,Super happy with this purchase. Packaging was also excellent. Would buy again.,Positive,64,47
137,T-Shirt,Home & Kitchen,5,Excellent build quality and quick shipping. Five stars!,Positive,20,42
138,Shampoo,Electronics,4,The product is durable and looks exactly like the pictures. Delivery was quick.,Positive,63,38
139,Face Cream,Beauty,5,Absolutely love this product! Exceeded all my expectations.,Positive,28,48
140,Blender,Books,5,The product is durable and looks exactly like the pictures.,Positive,41,48
141,Face Cream,Clothing,4,Best purchase I have made this year. Highly recommend! Not what I expected though.,Positive,39,11
142,Shampoo,Clothing,5,Best purchase I have made this year. Highly recommend!,Positive,61,44
143,Novel,Clothing,5,The product is durable and looks exactly like the pictures.,Positive,62,9
144,Coffee Maker,Home & Kitchen,4,Outstanding customer service and excellent product quality.,Positive,43,6
145,Shampoo,Clothing,4,Great value for money. The product works perfectly. Very impressed overall.,Positive,30,45
146,Coffee Maker,Sports,5,Amazing quality and fast delivery. Will definitely buy again. Delivery was quick.,Positive,18,0
147,Jeans,Electronics,5,Great value for money. The product works perfectly. Packaging was neat.,Positive,41,48
148,Laptop,Home & Kitchen,4,Great value for money. The product works perfectly.,Positive,27,35
149,Jeans,Beauty,4,Super happy with this purchase. Packaging was also excellent.,Positive,52,20
150,Novel,Clothing,5,Fantastic product at a very reasonable price point. Packaging was neat.,Positive,41,36
151,Face Cream,Electronics,4,Excellent build quality and quick shipping. Five stars! The size was perfect.,Positive,45,23
152,Coffee Maker,Books,4,Fantastic product at a very reasonable price point. Packaging was neat.,Positive,53,24
153,Yoga Mat,Clothing,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,33,6
154,Face Cream,Electronics,4,The product is durable and looks exactly like the pictures. Good build quality.,Positive,57,41
155,Face Cream,Sports,5,Best purchase I have made this year. Highly recommend! Not what I expected though.,Positive,33,16
157,Blender,Sports,4,The product is durable and looks exactly like the pictures. Would buy again.,Positive,32,29
158,T-Shirt,Beauty,5,Fantastic product at a very reasonable price point.,Positive,33,6
159,Dumbbells,Electronics,4,Best purchase I have made this year. Highly recommend!,Positive,32,32
160,Dumbbells,Sports,5,Best purchase I have made this year. Highly recommend!,Positive,51,6
161,Novel,Beauty,4,Outstanding customer service and excellent product quality.,Positive,28,23
162,T-Shirt,Electronics,5,Fantastic product at a very reasonable price point. Not what I expected though.,Positive,18,10
163,Coffee Maker,Electronics,5,Super happy with this purchase. Packaging was also excellent.,Positive,32,8
164,Novel,Sports,5,Best purchase I have made this year. Highly recommend!,Positive,43,11
165,T-Shirt,Electronics,4,Fantastic product at a very reasonable price point. Very impressed overall.,Positive,21,34
166,Shampoo,Clothing,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,60,3
167,Jeans,Electronics,5,Fantastic product at a very reasonable price point. Recommended to friends.,Positive,22,35
168,Novel,Home & Kitchen,5,Absolutely love this product! Exceeded all my expectations. Not what I expected though.,Positive,52,27
169,Shampoo,Beauty,5,Outstanding customer service and excellent product quality. Good build quality.,Positive,30,12
170,Coffee Maker,Electronics,4,Super happy with this purchase. Packaging was also excellent. Very impressed overall.,Positive,27,22
171,Novel,Home & Kitchen,5,Outstanding customer service and excellent product quality. Recommended to friends.,Positive,28,18
172,Coffee Maker,Electronics,4,Great value for money. The product works perfectly. The size was perfect.,Positive,35,41
173,Novel,Electronics,5,Great value for money. The product works perfectly. Very impressed overall.,Positive,51,36
174,T-Shirt,Sports,4,Great value for money. The product works perfectly. Good build quality.,Positive,56,38
175,Blender,Clothing,4,Fantastic product at a very reasonable price point.,Positive,58,23
176,Headphones,Beauty,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,59,15
177,Shampoo,Clothing,4,Amazing quality and fast delivery. Will definitely buy again. The size was perfect.,Positive,40,32
178,T-Shirt,Books,5,Fantastic product at a very reasonable price point.,Positive,24,11
179,Laptop,Sports,4,Fantastic product at a very reasonable price point. Delivery was quick.,Positive,56,33
180,Python Guide,Sports,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,20,6
181,Shampoo,Clothing,4,Super happy with this purchase. Packaging was also excellent.,Positive,29,10
182,Blender,Sports,4,Best purchase I have made this year. Highly recommend!,Positive,24,30
183,Jeans,Clothing,5,Works like a charm. Very happy with the overall experience. Not what I expected though.,Positive,43,28
184,Face Cream,Sports,4,Excellent build quality and quick shipping. Five stars! Not what I expected though.,Positive,50,12
185,Dumbbells,Electronics,4,Excellent build quality and quick shipping. Five stars! Would buy again.,Positive,54,30
186,T-Shirt,Clothing,5,Absolutely love this product! Exceeded all my expectations. Very impressed overall.,Positive,32,1
187,Novel,Clothing,5,Amazing quality and fast delivery. Will definitely buy again.,Positive,19,38
188,T-Shirt,Home & Kitchen,4,Works like a charm. Very happy with the overall experience. Good build quality.,Positive,58,14
189,Shampoo,Sports,5,Best purchase I have made this year. Highly recommend!,Positive,24,10
190,Yoga Mat,Sports,5,Super happy with this purchase. Packaging was also excellent. The size was perfect.,Positive,49,33
191,Shampoo,Clothing,5,Great value for money. The product works perfectly.,Positive,21,38
192,Blender,Electronics,4,Absolutely love this product! Exceeded all my expectations. Very impressed overall.,Positive,37,3
193,Headphones,Electronics,5,Excellent build quality and quick shipping. Five stars!,Positive,53,10
194,Jeans,Beauty,5,Great value for money. The product works perfectly.,Positive,49,28
195,Yoga Mat,Electronics,4,Excellent build quality and quick shipping. Five stars! The size was perfect.,Positive,45,1
196,Coffee Maker,Sports,5,Super happy with this purchase. Packaging was also excellent. Packaging was neat.,Positive,30,15
197,Yoga Mat,Home & Kitchen,5,Outstanding customer service and excellent product quality. Packaging was neat.,Positive,18,38
198,T-Shirt,Clothing,4,Best purchase I have made this year. Highly recommend!,Positive,52,12
199,Jeans,Books,4,Excellent build quality and quick shipping. Five stars! Not what I expected though.,Positive,47,36
200,T-Shirt,Home & Kitchen,5,Outstanding customer service and excellent product quality. Good build quality.,Positive,53,16
201,Coffee Maker,Books,5,Excellent build quality and quick shipping. Five stars!,Positive,42,20
202,Shampoo,Home & Kitchen,4,Best purchase I have made this year. Highly recommend!,Positive,33,43
203,Face Cream,Electronics,5,Super happy with this purchase. Packaging was also excellent. Recommended to friends.,Positive,36,18
204,Jeans,Sports,5,Best purchase I have made this year. Highly recommend! Not what I expected though.,Positive,18,6
205,Face Cream,Books,4,Amazing quality and fast delivery. Will definitely buy again. The size was perfect.,Positive,22,37
206,Blender,Home & Kitchen,4,Fantastic product at a very reasonable price point. The size was perfect.,Positive,39,7
207,Blender,Sports,4,The product is durable and looks exactly like the pictures.,Positive,41,12
208,Face Cream,Books,4,Works like a charm. Very happy with the overall experience.,Positive,60,36
209,Blender,Clothing,4,Amazing quality and fast delivery. Will definitely buy again. Recommended to friends.,Positive,62,1
210,Jeans,Home & Kitchen,4,Best purchase I have made this year. Highly recommend! Delivery was quick.,Positive,54,40
211,Novel,Clothing,5,Great value for money. The product works perfectly. Not what I expected though.,Positive,53,10
212,Laptop,Electronics,4,Absolutely love this product! Exceeded all my expectations. The size was perfect.,Positive,53,23
213,Blender,Clothing,4,Super happy with this purchase. Packaging was also excellent. Very impressed overall.,Positive,21,5
214,Blender,Clothing,4,Outstanding customer service and excellent product quality.,Positive,53,25
215,T-Shirt,Beauty,5,Great value for money. The product works perfectly. Delivery was quick.,Positive,35,6
216,Face Cream,Home & Kitchen,5,Super happy with this purchase. Packaging was also excellent.,Positive,33,38
217,Python Guide,Electronics,4,Fantastic product at a very reasonable price point.,Positive,58,18
218,Headphones,Clothing,4,Great value for money. The product works perfectly.,Positive,35,5
219,Dumbbells,Sports,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,39,42
220,Dumbbells,Books,4,Fantastic product at a very reasonable price point. Good build quality.,Positive,19,28
221,Yoga Mat,Clothing,5,Excellent build quality and quick shipping. Five stars! Would buy again.,Positive,38,42
222,Blender,Electronics,4,Excellent build quality and quick shipping. Five stars!,Positive,53,38
223,Yoga Mat,Clothing,5,Absolutely love this product! Exceeded all my expectations.,Positive,61,1
224,Jeans,Books,5,Absolutely love this product! Exceeded all my expectations.,Positive,56,18
225,Python Guide,Electronics,5,The product is durable and looks exactly like the pictures. Not what I expected though.,Positive,64,3
226,Headphones,Home & Kitchen,4,Best purchase I have made this year. Highly recommend!,Positive,56,5
227,Face Cream,Electronics,4,Best purchase I have made this year. Highly recommend! Not what I expected though.,Positive,46,48
228,Shampoo,Home & Kitchen,5,Outstanding customer service and excellent product quality. Very impressed overall.,Positive,43,36
229,Laptop,Electronics,4,Excellent build quality and quick shipping. Five stars! The size was perfect.,Positive,38,27
230,Headphones,Books,5,Absolutely love this product! Exceeded all my expectations. Packaging was neat.,Positive,34,29
231,Headphones,Books,5,Absolutely love this product! Exceeded all my expectations. Delivery was quick.,Positive,33,6
232,Shampoo,Electronics,4,Great value for money. The product works perfectly. The size was perfect.,Positive,48,8
233,Laptop,Clothing,4,Fantastic product at a very reasonable price point. Good build quality.,Positive,26,24
234,Novel,Books,4,The product is durable and looks exactly like the pictures.,Positive,48,32
235,Face Cream,Home & Kitchen,5,Best purchase I have made this year. Highly recommend!,Positive,31,0
236,Shampoo,Home & Kitchen,5,Outstanding customer service and excellent product quality.,Positive,54,5
237,T-Shirt,Sports,4,Fantastic product at a very reasonable price point.,Positive,19,17
238,Yoga Mat,Beauty,4,Best purchase I have made this year. Highly recommend! Good build quality.,Positive,63,9
239,Dumbbells,Beauty,5,The product is durable and looks exactly like the pictures.,Positive,31,27
240,Blender,Beauty,5,Excellent build quality and quick shipping. Five stars!,Positive,50,10
241,Headphones,Home & Kitchen,5,Outstanding customer service and excellent product quality. Good build quality.,Positive,52,32
242,Jeans,Sports,4,Great value for money. The product works perfectly. Recommended to friends.,Positive,56,0
243,Dumbbells,Beauty,4,Great value for money. The product works perfectly. Packaging was neat.,Positive,64,12
244,Dumbbells,Beauty,5,Excellent build quality and quick shipping. Five stars!,Positive,37,36
245,Laptop,Electronics,5,Works like a charm. Very happy with the overall experience. Would buy again.,Positive,19,19
246,Yoga Mat,Electronics,4,Best purchase I have made this year. Highly recommend!,Positive,58,0
247,Python Guide,Electronics,5,Absolutely love this product! Exceeded all my expectations. Recommended to friends.,Positive,36,2
248,Laptop,Clothing,4,Absolutely love this product! Exceeded all my expectations.,Positive,54,17
249,Shampoo,Beauty,4,Fantastic product at a very reasonable price point.,Positive,35,40
250,Python Guide,Clothing,4,The product is durable and looks exactly like the pictures. The size was perfect.,Positive,33,13
251,Face Cream,Sports,4,Absolutely love this product! Exceeded all my expectations.,Positive,21,30
252,Headphones,Home & Kitchen,4,Great value for money. The product works perfectly.,Positive,29,26
253,Jeans,Beauty,5,Best purchase I have made this year. Highly recommend!,Positive,46,16
254,Dumbbells,Home & Kitchen,5,The product is durable and looks exactly like the pictures. Not what I expected though.,Positive,24,45
255,Blender,Electronics,5,Best purchase I have made this year. Highly recommend! Not what I expected though.,Positive,31,28
256,Python Guide,Beauty,5,Super happy with this purchase. Packaging was also excellent. Not what I expected though.,Positive,29,35
257,Yoga Mat,Books,4,Fantastic product at a very reasonable price point. The size was perfect.,Positive,52,36
258,Novel,Clothing,4,Best purchase I have made this year. Highly recommend!,Positive,22,25
259,Face Cream,Clothing,4,Absolutely love this product! Exceeded all my expectations. Not what I expected though.,Positive,34,16
260,Novel,Beauty,5,Outstanding customer service and excellent product quality.,Positive,59,21
261,Face Cream,Electronics,5,Absolutely love this product! Exceeded all my expectations. Recommended to friends.,Positive,49,24
262,T-Shirt,Clothing,5,Works like a charm. Very happy with the overall experience.,Positive,27,1
263,Yoga Mat,Electronics,5,Fantastic product at a very reasonable price point. Delivery was quick.,Positive,60,21
264,Shampoo,Sports,4,Great value for money. The product works perfectly. Very impressed overall.,Positive,34,4
265,Dumbbells,Home & Kitchen,5,Absolutely love this product! Exceeded all my expectations. Not what I expected though.,Positive,22,3
266,Novel,Books,5,Excellent build quality and quick shipping. Five stars! Packaging was neat.,Positive,62,35
267,Jeans,Home & Kitchen,4,Super happy with this purchase. Packaging was also excellent. Not what I expected though.,Positive,59,5
268,Headphones,Home & Kitchen,4,Amazing quality and fast delivery. Will definitely buy again. Packaging was neat.,Positive,26,20
269,Laptop,Sports,4,The product is durable and looks exactly like the pictures. Recommended to friends.,Positive,50,12
270,Blender,Clothing,5,The product is durable and looks exactly like the pictures. Recommended to friends.,Positive,53,36
271,Shampoo,Books,5,Great value for money. The product works perfectly. Very impressed overall.,Positive,53,24
272,Headphones,Clothing,5,Excellent build quality and quick shipping. Five stars! Good build quality.,Positive,35,25
273,Dumbbells,Beauty,5,Super happy with this purchase. Packaging was also excellent. The size was perfect.,Positive,26,38
274,Headphones,Home & Kitchen,4,Best purchase I have made this year. Highly recommend! Recommended to friends.,Positive,46,19
275,Face Cream,Beauty,4,Works like a charm. Very happy with the overall experience. The size was perfect.,Positive,31,32
276,Jeans,Electronics,5,Outstanding customer service and excellent product quality.,Positive,42,13
277,Dumbbells,Home & Kitchen,5,Amazing quality and fast delivery. Will definitely buy again. Recommended to friends.,Positive,32,35
278,Face Cream,Clothing,4,Great value for money. The product works perfectly. Packaging was neat.,Positive,23,16
279,Coffee Maker,Home & Kitchen,5,Super happy with this purchase. Packaging was also excellent. Would buy again.,Positive,59,20
280,Python Guide,Electronics,4,The product is durable and looks exactly like the pictures. Very impressed overall.,Positive,46,45
281,Blender,Sports,4,Works like a charm. Very happy with the overall experience. The size was perfect.,Positive,32,15
282,Python Guide,Beauty,4,Great value for money. The product works perfectly. Would buy again.,Positive,46,45
283,Laptop,Beauty,5,Amazing quality and fast delivery. Will definitely buy again. Would buy again.,Positive,21,15
284,Coffee Maker,Clothing,5,Great value for money. The product works perfectly. Recommended to friends.,Positive,35,19
285,Yoga Mat,Home & Kitchen,4,Fantastic product at a very reasonable price point.,Positive,61,28
286,Laptop,Clothing,4,Best purchase I have made this year. Highly recommend! Not what I expected though.,Positive,56,27
287,Laptop,Sports,4,Excellent build quality and quick shipping. Five stars!,Positive,33,7
288,T-Shirt,Home & Kitchen,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,28,23
289,Blender,Home & Kitchen,4,Fantastic product at a very reasonable price point. The size was perfect.,Positive,31,2
290,Face Cream,Clothing,5,Fantastic product at a very reasonable price point. The size was perfect.,Positive,20,24
291,Jeans,Clothing,4,The product is durable and looks exactly like the pictures.,Positive,59,18
292,Python Guide,Electronics,4,Absolutely love this product! Exceeded all my expectations.,Positive,55,32
293,Laptop,Sports,4,Absolutely love this product! Exceeded all my expectations.,Positive,62,1
294,Python Guide,Electronics,4,Great value for money. The product works perfectly.,Positive,59,14
295,Shampoo,Beauty,5,Works like a charm. Very happy with the overall experience.,Positive,35,21
296,Python Guide,Home & Kitchen,5,Fantastic product at a very reasonable price point. Delivery was quick.,Positive,37,9
297,Yoga Mat,Clothing,5,Works like a charm. Very happy with the overall experience. Recommended to friends.,Positive,42,17
298,Dumbbells,Home & Kitchen,5,Works like a charm. Very happy with the overall experience.,Positive,55,21
299,Shampoo,Home & Kitchen,5,Great value for money. The product works perfectly. Delivery was quick.,Positive,30,45
300,Shampoo,Books,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,21,48
301,Blender,Beauty,5,Great value for money. The product works perfectly.,Positive,31,26
302,Blender,Books,4,Excellent build quality and quick shipping. Five stars! Very impressed overall.,Positive,50,12
303,Novel,Home & Kitchen,5,Fantastic product at a very reasonable price point. The size was perfect.,Positive,45,32
304,Headphones,Clothing,4,Super happy with this purchase. Packaging was also excellent.,Positive,54,4
305,Blender,Home & Kitchen,4,Excellent build quality and quick shipping. Five stars! Very impressed overall.,Positive,25,25
